                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3989,                 3.4129,                 3.1696,                0.92169,                0.09416,                0.12117,                0.05528,                 2.2609,                 2.3654,                 2.1521,             0.00036931,             0.00036931,             0.00036931
                      2,                 2.0869,                 1.8523,                 1.7911,                0.47066,                0.38937,                 0.3822,                0.20657,                 1.7056,                 1.5776,                 1.5574,             0.00070303,             0.00070303,             0.00070303
                      3,                 1.7987,                 1.4913,                 1.5199,                0.59597,                0.45286,                0.47588,                0.27056,                 1.5058,                 1.2765,                 1.4041,              0.0010001,              0.0010001,              0.0010001
                      4,                 1.6375,                 1.2951,                 1.3994,                0.64588,                0.50643,                0.55803,                0.33235,                  1.384,                  1.097,                 1.3095,             0.00094602,             0.00094602,             0.00094602
                      5,                 1.5554,                 1.1779,                 1.3358,                0.65731,                0.54337,                0.60681,                0.36702,                 1.3316,                 1.0106,                 1.2601,             0.00094602,             0.00094602,             0.00094602
                      6,                 1.4926,                 1.1079,                 1.2947,                0.69618,                0.56633,                0.63201,                0.38246,                 1.3349,                0.96431,                 1.2578,             0.00089102,             0.00089102,             0.00089102
                      7,                 1.4298,                 1.0407,                 1.2592,                0.76472,                0.58264,                0.66425,                0.40511,                 1.3045,                0.91171,                 1.2264,             0.00083603,             0.00083603,             0.00083603
                      8,                 1.3997,                0.99784,                 1.2379,                0.76186,                0.62537,                0.70169,                 0.4419,                 1.2223,                0.85067,                 1.1849,             0.00078103,             0.00078103,             0.00078103
                      9,                 1.3614,                0.94908,                 1.2098,                0.73139,                0.65306,                0.71174,                0.44891,                 1.2311,                0.83611,                 1.1833,             0.00072604,             0.00072604,             0.00072604
                     10,                 1.3391,                0.92577,                 1.1946,                0.78543,                0.67453,                0.75175,                0.47552,                 1.1871,                0.78398,                 1.1553,             0.00067104,             0.00067104,             0.00067104
                     11,                 1.2663,                0.85381,                 1.1869,                 0.7716,                0.68518,                0.75511,                0.48567,                 1.1893,                0.79077,                   1.16,             0.00061605,             0.00061605,             0.00061605
                     12,                 1.2419,                0.81214,                 1.1708,                0.81373,                0.69666,                0.78361,                0.51063,                 1.1557,                0.74435,                 1.1321,             0.00056105,             0.00056105,             0.00056105
                     13,                 1.2161,                0.78691,                 1.1554,                0.81177,                0.72631,                0.79585,                0.52382,                 1.1396,                0.72241,                 1.1247,             0.00050606,             0.00050606,             0.00050606
                     14,                 1.1972,                0.76367,                 1.1427,                0.82083,                0.71406,                0.80042,                0.52913,                 1.1269,                0.71005,                 1.1165,             0.00045107,             0.00045107,             0.00045107
                     15,                  1.179,                0.74692,                 1.1344,                0.81534,                0.72373,                0.80251,                0.53264,                 1.1258,                0.70202,                 1.1144,             0.00039607,             0.00039607,             0.00039607
                     16,                 1.1605,                0.72505,                 1.1243,                0.85107,                0.71467,                0.81242,                0.54829,                 1.1026,                0.68366,                 1.1038,             0.00034108,             0.00034108,             0.00034108
                     17,                 1.1459,                0.71121,                 1.1137,                0.84729,                0.74139,                 0.8211,                0.54849,                 1.0929,                0.67553,                 1.0989,             0.00028608,             0.00028608,             0.00028608
                     18,                 1.1365,                0.70024,                 1.1077,                0.85024,                 0.7458,                0.83209,                0.55697,                 1.0927,                0.66725,                 1.0951,             0.00023109,             0.00023109,             0.00023109
                     19,                 1.1157,                0.68492,                 1.0935,                0.88559,                0.73194,                0.83755,                0.56528,                 1.0745,                0.65575,                 1.0847,             0.00017609,             0.00017609,             0.00017609
                     20,                 1.1016,                0.67231,                 1.0865,                0.84031,                0.77519,                0.83941,                0.56822,                 1.0697,                 0.6465,                  1.081,              0.0001211,              0.0001211,              0.0001211
